total=8637 named=933
HouseClass::AI_TryFireSW @ 005098f0
HouseClass::AI_VehicleConstructionUpdate @ 004fea60
HouseClass::AcceptDefeat @ 004fc0b0
HouseClass::AcquiredThreatNode @ 00509130
HouseClass::AddTracking @ 004ff700
HouseClass::AdjustThreats @ 00509400
HouseClass::AllPrerequisitesAvailable @ 00505360
HouseClass::AllyAIHouses @ 00501640
HouseClass::AssignHandicap @ 004f6ec0
HouseClass::BuildingUnderAttack @ 004f93e0
HouseClass::CalculateCostMultipliers @ 0050bf60
HouseClass::CanAlly @ 00501540
HouseClass::CanBuild @ 004f7870
HouseClass::Cheer @ 0050c8c0
HouseClass::CountOtherUndefeatedHumanHouses @ 005e2ba0
HouseClass::CreatePowerOutage @ 0050bc90
HouseClass::CreateRadarOutage @ 0050bcd0
HouseClass::DestroyAll @ 004fc6d0
HouseClass::DestroyAllBuildings @ 004fc790
HouseClass::DestroyAllNonBuildingsNaval @ 004fc8d0
HouseClass::DestroyAllNonBuildingsNonNaval @ 004fc820
HouseClass::DroppedFlag @ 004fbf60
HouseClass::EnsurePlanningPathExists @ 00504740
HouseClass::FindBuildingOfType @ 004fd060
HouseClass::Fire_GenMutator @ 00509f60
HouseClass::Fire_LightningStorm @ 00509e00
HouseClass::Fire_ParaDrop @ 00509cd0
HouseClass::Fire_PsyDom @ 0050a150
HouseClass::Fire_SW @ 004fae50
HouseClass::FirstBuildableFromArray @ 005051e0
HouseClass::FlagToDie @ 004fc980
HouseClass::ForceEnd @ 004fcdc0
HouseClass::GainedPoweredCenter @ 0050e1b0
HouseClass::GetArmorMultiplier @ 0050bd30
HouseClass::GetInfSelfHealStep @ 0050d9e0
HouseClass::GetPlanningWaypointAt @ 005023b0
HouseClass::GetPlanningWaypointProperties @ 00502460
HouseClass::GetPowerPercentage @ 004fce30
HouseClass::GetPrimaryFactory @ 00500510
HouseClass::GetStoragePercentage @ 004f6e70
HouseClass::GetUnitSelfHealStep @ 0050d9f0
HouseClass::GetWeedStoragePercentage @ 004f9750
HouseClass::GiveMoney @ 004f9950
HouseClass::GiveTiberium @ 004f9610
HouseClass::IonSensitivesShouldBeOffline @ 0053a130
HouseClass::IsAlliedWith @ 004f9a10
HouseClass::IsAlliedWith @ 004f9a50
HouseClass::IsAlliedWith @ 004f9a90
HouseClass::IsAlliedWith @ 004f9af0
HouseClass::Lose @ 004fcbd0
HouseClass::LostPoweredCenter @ 0050e0e0
HouseClass::MakeAlly @ 004f9b50
HouseClass::MakeAlly @ 004f9b70
HouseClass::MakeEnemy @ 004f9f90
HouseClass::PickIonCannonTarget @ 0050cbf0
HouseClass::PickRandomCellInZone @ 00501ac0
HouseClass::PickTargetByType @ 0050d170
HouseClass::PickedUpFlag @ 004fc060
HouseClass::PsiWarn @ 0043b5e0
HouseClass::RegisterGain @ 00502a80
HouseClass::RegisterJustBuilt @ 004fb6b0
HouseClass::RegisterLoss @ 005025f0
HouseClass::RemoveTracking @ 004ff550
HouseClass::ReshroudMap @ 0050bd10
HouseClass::RespawnStartingBuildings @ 0050d320
HouseClass::RespawnStartingForces @ 0050d440
HouseClass::SDDTORAllAndTriggers @ 004fb920
HouseClass::SellWall @ 004fce80
HouseClass::TakeMoney @ 004f9790
HouseClass::UpdateAllSilos @ 004f9970
HouseClass::UpdateAngerNodes @ 00504790
HouseClass::UpdateFlagCoords @ 004fbe40
HouseClass::UpdatePower @ 00508c30
HouseClass::Update_FactoriesQueues @ 00509140
HouseClass::Win @ 004fc9e0
